IBRA Region Code,total_ce
ARC,1
ARP,2
AUA,11
AVW,16
BBN,5
BBS,10
BEL,7
BHC,2
BRT,0
CAR,3
CEA,1
CEK,1
CER,0
CHC,2
CMC,3
COO,4
COP,3
COS,0
CYP,6
DAB,1
DAC,5
DAL,5
DEU,1
DMR,0
DRP,2
EIU,4
ESP,8
EYB,5
FIN,0
FLB,6
FUR,11
GAS,0
GAW,2
GES,7
GFU,1
GID,0
GSD,0
GUC,2
GUP,3
GVD,0
HAM,2
ITI,10
JAF,20
KAN,8
KIN,8
LSD,0
MAC,0
MAL,9
MDD,14
MGD,1
MII,1
MUL,2
MUR,1
NAN,4
NCP,7
NET,2
NNC,7
NOK,3
NSS,9
NUL,0
OVP,0
PCK,2
PIL,3
PSI,22
RIV,8
SAI,4
SCP,12
SEC,4
SEH,23
SEQ,13
SSD,2
STP,1
STU,0
SVP,11
SWA,16
SYB,16
TAN,0
TCH,1
TIW,2
TNM,8
TNS,5
TSE,19
TSR,9
TWE,4
VIB,3
VIM,9
WAR,7
WET,10
YAL,6
